Name,Type,Trial,Win?,Total Time,Number of Moves,LLM Attempts,List of MovesMaze Layout,PST end of Sample,Outcome Reason
gemma-3-27b-it,ZeroShot,1,True,4.185398817062378,26,3,"['down', 'down', 'right', 'right', 'right', 'down', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'left', 'down', 'right', 'right']",P         \n          \n#         \n         #\n#      ## \n # #      \n #       #\n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=2, tm_sec=46, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,5.986266613006592,52,4,"['right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'right']",P         \n   #      \n          \n #   #    \n#  ##     \n          \n      #  #\n  #      W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=17, tm_sec=53, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,False,17.36410641670227,166,11,"['right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right']",P    #    \n  #       \n#        #\n          \n      #   \n      #   \n         #\n# #     #W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=20, tm_sec=24, tm_wday=6, tm_yday=173, tm_isdst=1)",failure
gemma-3-27b-it,ZeroShot,1,False,13.424784421920776,105,11,"['down', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'down', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right']",P    #    \n          \n          \n         #\n     #    \n     #  ##\n          \n    # ## W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=23, tm_sec=18, tm_wday=6, tm_yday=173, tm_isdst=1)",failure
gemma-3-27b-it,ZeroShot,1,True,6.070797920227051,47,5,"['down', 'down', 'right', 'right', 'right', 'down', 'left', 'down', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'down', 'down', 'down', 'right', 'right', 'up', 'right', 'down', 'down', 'right', 'up', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'down']",P         \n          \n ##    ## \n   #      \n     #    \n  # #     \n     #    \n        #W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=23, tm_sec=45, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,False,16.773783206939697,166,11,"['right', 'down', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'down', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'right']",P  #    # \n  # #     \n          \n      #   \n          \n   #     #\n     # ## \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=24, tm_sec=4, tm_wday=6, tm_yday=173, tm_isdst=1)",failure
gemma-3-27b-it,ZeroShot,1,False,14.207942724227905,111,11,"['down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right']",P    ##  #\n         #\n  #       \n          \n  #       \n          \n #  #  #  \n     #   W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=24, tm_sec=20, tm_wday=6, tm_yday=173, tm_isdst=1)",failure
gemma-3-27b-it,ZeroShot,1,True,4.234512090682983,44,3,"['down', 'down', 'right', 'right', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'down', 'down', 'down', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'up', 'right', 'down', 'down', 'down', 'down', 'right', 'right']",P    #    \n         #\n  #       \n         #\n  #  #    \n      #   \n  #      #\n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=24, tm_sec=26, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,2.50089430809021,20,2,"['right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right']",P         \n  #   #   \n          \n          \n  #    #  \n#        #\n   # #    \n   ##    W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=24, tm_sec=31, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,3.7626166343688965,23,2,"['down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']",P        #\n        ##\n    ##    \n          \n      ##  \n   #  #   \n    #     \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=24, tm_sec=37, tm_wday=6, tm_yday=173, tm_isdst=1)",success
